breed,url,a_adaptability,a1_adapts_well_to_apartment_living,a2_good_for_novice_owners,a3_sensitivity_level,a4_tolerates_being_alone,a5_tolerates_cold_weather,a6_tolerates_hot_weather,b_all_around_friendliness,b1_affectionate_with_family,b2_incredibly_kid_friendly_dogs,b3_dog_friendly,b4_friendly_toward_strangers,c_health_grooming,c1_amount_of_shedding,c2_drooling_potential,c3_easy_to_groom,c4_general_health,c5_potential_for_weight_gain,c6_size,d_trainability,d1_easy_to_train,d2_intelligence,d3_potential_for_mouthiness,d4_prey_drive,d5_tendency_to_bark_or_howl,d6_wanderlust_potential,e_exercise_needs,e1_energy_level,e2_intensity,e3_exercise_needs,e4_potential_for_playfulness,breed_group,height,weight,life_span,height_range_in,size
Bull-Pei,https://dogtime.com/dog-breeds/bull-pei,2,4,2,3,3,1,1,2,3,2,2,2,4,4,3,4,3,4,3,2,3,2,4,2,2,1,2,2,2,2,2,Mixed Breed Dogs,16 to 18 inches,35 to 65 pounds ,9 to 11 years ,"16,18",3
Bull Terrier,https://dogtime.com/dog-breeds/bull-terrier,3,4,4,5,2,1,4,5,5,5,4,5,3,3,1,5,4,5,2,4,5,4,4,4,1,5,5,4,5,5,5,Terrier Dogs,"1 foot, 9 inches to 1 foot, 10 inches tall at the shoulder",35 to 75 pounds,10 to 15 years,"21,22",4
Bullador,https://dogtime.com/dog-breeds/bullador,2,2,2,4,2,2,2,4,4,4,4,4,4,4,4,4,3,5,4,4,4,4,2,4,4,3,4,4,4,4,4,Mixed Breed Dogs,17 to 20 inches ,50 to 90 pounds,10 to 12 years ,"17,20",3
Bullboxer Pit,https://dogtime.com/dog-breeds/bullboxer-pit,2,1,2,3,2,2,2,3,4,4,2,2,4,4,4,4,4,4,3,4,2,4,4,5,4,3,5,5,5,5,4,Mixed Breed Dogs,16 to 20 inches,50 to 80 pounds,10 to 14 years,"16,20",3
Bulldog,https://dogtime.com/dog-breeds/bulldog,3,5,4,4,3,1,1,4,5,4,2,5,4,3,5,5,4,5,2,2,3,2,2,2,4,1,3,2,3,3,4,Companion Dogs,"1 foot to 1 foot, 3 inches tall at the shoulder",40 to 50 pounds,8 to 12 years,"12,15",2
Bullmastiff,https://dogtime.com/dog-breeds/bullmastiff,3,3,2,4,2,4,2,4,5,5,4,3,4,1,5,5,2,5,5,3,3,3,3,3,4,3,4,2,4,3,5,Working Dogs,24 to 27 inches at the shoulder,100 to 130 pounds,8 to 10 years,"24,27",5
Bullmatian,https://dogtime.com/dog-breeds/bullmatian,2,2,1,3,3,2,2,4,4,5,4,3,3,2,3,4,4,4,3,3,1,4,3,3,2,3,4,5,4,4,4,Mixed Breed Dogs,11 to 24 inches,41 to 65 pounds,8 to 12 years,"11,24",3
Cairn Terrier,https://dogtime.com/dog-breeds/cairn-terrier,4,5,4,3,1,4,4,5,5,5,4,4,3,3,1,5,4,3,1,4,2,5,3,4,4,3,5,5,4,4,5,Terrier Dogs,9 inches to 10 inches tall at the shoulder,13 to 14 pounds,12 to 15 years,"9,10",2
Canaan Dog,https://dogtime.com/dog-breeds/canaan-dog,4,4,4,4,3,3,5,3,4,2,3,2,3,4,1,5,5,2,3,3,5,4,3,3,3,2,4,4,3,3,4,Herding Dogs,"1 foot, 7 inches to 2 feet tall at the shoulder",35 to 55 pounds,12 to 15 years,"19,24",4
Cane Corso,https://dogtime.com/dog-breeds/cane-corso,2,1,1,3,1,3,4,3,4,2,3,2,4,3,4,5,3,4,4,4,4,5,2,5,3,2,4,4,3,5,2,Working Dogs,"1 foot, 11 inches to 2 feet, 3 inches tall at the shoulder",90 to 120 pounds,10 to 12 years,"23,27",5
Cardigan Welsh Corgi,https://dogtime.com/dog-breeds/cardigan-welsh-corgi,4,4,4,4,3,4,3,4,5,4,3,3,3,4,1,3,4,4,2,3,4,5,2,4,2,3,3,3,3,3,4,Herding Dogs,10 inches to 1 foot tall at the shoulder,25 to 38 pounds,12 to 15 years,"10,12",2
Catahoula Bulldog,https://dogtime.com/dog-breeds/catahoula-bulldog,2,1,1,2,3,1,5,3,4,3,2,1,3,1,1,5,4,3,4,3,2,3,4,5,3,3,5,5,5,5,4,Mixed Breed Dogs,24 to 26 inches,75 to 100 pounds,10 to 14 years,"24,26",5
Catahoula Leopard Dog,https://dogtime.com/dog-breeds/catahoula-leopard-dog,2,1,1,2,2,3,3,3,5,3,1,1,3,3,1,5,3,3,4,3,2,3,3,1,3,3,4,4,3,5,2,Herding Dogs,"1 foot, 8 inches to 2 feet, 2 inches tall at the shoulder",50 to 90 pounds,10 to 14 years,"20,26",4
Caucasian Shepherd Dog,https://dogtime.com/dog-breeds/caucasian-shepherd-dog,3,2,1,2,3,5,2,3,4,2,2,2,4,4,4,2,3,4,5,3,2,4,4,3,3,2,3,2,4,2,3,Working Dogs,24 to 34 inches,80 to 220 pounds,10 to 12 years,"24,34",5
Cav-a-Jack,https://dogtime.com/dog-breeds/cav-a-jack,3,4,4,3,1,3,3,4,4,4,4,4,3,2,2,4,3,4,2,4,4,4,3,4,3,3,4,4,3,4,5,Mixed Breed Dogs,10 to 17 inches,13 to 18 pounds,12 to 17 years,"10,17",2
Cavachon,https://dogtime.com/dog-breeds/cavachon,4,5,5,5,1,3,3,5,5,5,5,5,3,2,1,2,4,4,2,3,4,4,3,4,3,2,4,4,3,4,5,Mixed Breed Dogs,12 to 13 inches ,15 to 35 pounds ,10 to 15 years ,"12,13",2
Cavador,https://dogtime.com/dog-breeds/cavador,3,3,5,4,2,3,3,4,5,5,4,3,3,3,2,4,4,4,3,3,4,4,2,3,3,3,4,4,3,4,5,Mixed Breed Dogs,18 to 24 inches,22 to 55 pounds,10 to 14 years,"18,24",4
Cavalier King Charles Spaniel,https://dogtime.com/dog-breeds/cavalier-king-charles-spaniel,4,5,5,5,1,3,2,5,5,5,5,5,3,3,1,4,4,4,2,3,4,4,3,3,3,2,4,3,2,4,5,Companion Dogs,12 to 13 inches at the shoulder,13 to 18 pounds,9 to 15 years,"12,13",2
Cavapoo,https://dogtime.com/dog-breeds/cavapoo,3,3,3,3,2,4,3,5,5,5,4,4,3,2,1,3,3,4,2,3,4,4,3,3,2,3,3,3,2,3,5,Mixed Breed Dogs,9 to 14 inches,9 to 25 pounds,12 to 15 years,"9,14",2
Cesky Terrier,https://dogtime.com/dog-breeds/cesky-terrier,4,5,4,4,3,3,3,3,5,3,2,3,3,1,1,4,5,4,2,3,4,3,3,2,3,3,3,2,3,3,5,Terrier Dogs,"10 inches to 1 foot, 1 inch tall at the shoulder",13 to 30 pounds,10 to 15 years,"10,13",2
Chabrador,https://dogtime.com/dog-breeds/chabrador,3,4,2,4,3,4,1,3,4,4,2,2,4,4,3,4,4,3,3,3,2,4,4,4,3,3,4,3,4,3,4,Mixed Breed Dogs,18 to 24 inches,45 to 80 pounds,9 to 13 years,"18,24",4
Cheagle,https://dogtime.com/dog-breeds/cheagle,3,4,4,4,1,1,2,3,5,3,3,2,3,3,1,5,3,4,2,3,2,4,3,4,4,3,4,4,4,3,4,Mixed Breed Dogs,9 to 14 inches ,9 to 20 pounds ,10 to 14 years ,"9,14",2
Chesapeake Bay Retriever,https://dogtime.com/dog-breeds/chesapeake-bay-retriever,3,1,1,3,2,4,4,3,5,3,1,1,4,5,3,5,4,4,3,3,3,4,3,3,3,4,5,5,5,5,4,Sporting Dogs,"1 foot, 9 inches to 2 feet, 2 inches tall at the shoulder",55 to 80 pounds,10 to 12 years,"21,26",4
Chi Chi,https://dogtime.com/dog-breeds/chi-chi,3,4,2,4,2,2,3,3,3,3,2,3,3,2,1,4,4,4,2,3,3,4,3,3,4,2,4,4,4,3,4,Mixed Breed Dogs,5 to 12 inches,4 to 11 pounds,11 to 20 years,"5,12",2
Chi-Poo,https://dogtime.com/dog-breeds/chi-poo,4,5,5,5,4,2,3,4,5,5,3,3,2,2,1,3,2,3,2,4,5,5,3,3,3,3,3,3,2,2,4,Mixed Breed Dogs,5 to 15 inches ,5 to 20 pounds ,12 to 15 years ,"5,15",2
Chigi,https://dogtime.com/dog-breeds/chigi,3,3,4,5,2,3,2,4,5,5,2,2,3,4,1,5,3,3,1,3,4,4,2,3,2,3,4,4,4,4,4,Mixed Breed Dogs,7 to 12 inches,10 to 20 pounds,12 to 14 years ,"7,12",2
Chihuahua,https://dogtime.com/dog-breeds/chihuahua,3,5,4,5,1,1,2,4,5,5,2,2,2,2,1,5,2,3,1,3,4,4,3,3,3,2,3,3,2,1,4,Companion Dogs,6 inches to 9 inches tall at the shoulder,3 to 6 pounds,10 to 18 years,"6,9",1
Chilier,https://dogtime.com/dog-breeds/chilier,3,4,2,4,2,2,2,4,4,4,4,3,3,2,3,4,4,3,2,3,2,4,3,3,3,2,4,4,4,3,4,Mixed Breed Dogs,8 to 12 inches,6 to 12 pounds,12 to 16 years,"8,12",2
Chinese Crested,https://dogtime.com/dog-breeds/chinese-crested,3,5,3,5,1,1,3,4,4,5,4,4,2,2,1,2,5,2,2,3,4,3,4,3,3,1,2,2,1,2,3,Companion Dogs,"11 inches to 1 foot, 1 inch tall at the shoulder",Up to 12 pounds,10 to 14 years,"11,13",2
Chinese Shar-Pei,https://dogtime.com/dog-breeds/chinese-shar-pei,3,4,2,2,4,2,1,2,2,2,1,2,3,5,2,5,1,4,3,3,3,2,5,2,5,2,2,2,1,3,1,Working Dogs,"1 foot, 6 inches to 1 foot, 8 inches tall at the shoulder",40 to 55 pounds,8 to 12 years,"18,20",3
Chinook,https://dogtime.com/dog-breeds/chinook,3,4,1,5,1,5,4,5,5,5,5,4,3,5,1,2,4,3,4,3,4,5,3,2,2,2,3,3,3,3,4,Working Dogs,"1 foot, 9 inches to 2 feet, 3 inches tall at the shoulder",55 to 70 pounds,12 to 15 years,"21,27",4
Chion,https://dogtime.com/dog-breeds/chion,3,4,3,3,2,2,3,3,5,3,3,2,3,2,2,3,4,4,2,3,3,3,4,3,4,1,3,4,3,2,4,Mixed Breed Dogs,5 to 11 inches,4 to 11 pounds,10 to 15 years,"5,11",1
Chipin,https://dogtime.com/dog-breeds/chipin,3,5,4,5,1,1,2,3,5,4,2,2,3,2,1,5,3,4,1,3,4,3,2,3,2,3,4,4,3,2,5,Mixed Breed Dogs,8 to 12 inches ,5 to 15 pounds ,10 to 14 years ,"8,12",2
Chiweenie,https://dogtime.com/dog-breeds/chiweenie,3,5,3,4,2,1,4,3,4,2,3,2,3,1,1,5,3,4,1,3,2,4,2,3,5,2,4,4,2,4,5,Mixed Breed Dogs,6 to 10 inches,5 to 12 pounds,12 to 16 years,"6,10",1
Chorkie,https://dogtime.com/dog-breeds/chorkie,3,5,5,5,1,1,2,3,4,3,3,2,2,2,1,3,3,2,1,3,3,3,2,2,4,2,4,4,3,3,5,Mixed Breed Dogs,6 to 9 inches ,8 to 15 pounds ,12 to 15 years ,"6,10",1
Chow Chow,https://dogtime.com/dog-breeds/chow-chow,3,3,2,2,5,5,2,1,2,1,1,1,3,1,3,1,2,4,4,2,2,1,5,2,1,2,2,2,2,2,1,Working Dogs,"1 foot, 5 inches to 1 foot, 8 inches tall at the shoulder",40 to 70 pounds,12 to 15 years,"17,20",3
Chow Shepherd,https://dogtime.com/dog-breeds/chow-shepherd,3,3,2,4,2,5,4,3,3,3,2,2,3,5,2,1,3,2,4,3,3,3,3,3,2,3,5,5,4,5,4,Mixed Breed Dogs,22 to 26 inches,45 to 90 pounds ,12 to 15 years ,"22,26",4
Chug,https://dogtime.com/dog-breeds/chug,3,5,3,3,3,2,3,4,5,4,3,3,3,4,2,4,4,4,1,3,3,3,3,2,2,2,4,4,3,3,4,Mixed Breed Dogs,10 to 14 inches,10 to 20 pounds,10 to 13,"10,14",2
Chusky,https://dogtime.com/dog-breeds/chusky,3,2,2,3,3,5,2,4,4,4,3,3,3,5,2,2,3,3,3,3,3,4,3,3,4,2,4,4,3,4,4,Mixed Breed Dogs,18 to 23 inches,40 to 65 pounds,10 to 13 years,"18,23",4
Cirneco dell’Etna,https://dogtime.com/dog-breeds/cirneco-delletna,3,4,3,3,3,3,3,4,5,5,4,3,3,2,1,4,5,2,3,3,3,3,2,4,3,1,3,4,2,3,4,Companion Dogs,17 to 20 inches,17 to 26 pounds,12 to 14 years,"17,20",3
Clumber Spaniel,https://dogtime.com/dog-breeds/clumber-spaniel,4,5,5,4,2,5,2,4,5,3,4,3,4,5,5,1,2,5,3,4,4,3,5,5,1,4,3,3,1,2,5,Sporting Dogs,"1 foot, 5 inches to 1 foot, 8 inches tall at the shoulder",55 to 85 pounds,12 to 12 years,"17,20",3
Cockalier,https://dogtime.com/dog-breeds/cockalier,3,4,4,4,2,2,2,4,5,5,4,3,3,2,1,4,4,3,2,3,4,4,2,3,2,2,4,4,2,4,5,Mixed Breed Dogs,12 to 15 inches,10 to 28 pounds,12 to 15 years,"12,15",2
Cockapoo - Standard,https://dogtime.com/dog-breeds/cockapoo,4,4,5,4,3,4,4,5,5,4,5,4,2,1,1,3,2,3,2,3,4,4,2,3,2,3,4,3,3,3,5,Hybrid Dogs,15 to 18 inches,25 to 35 pounds,12 to 15 years,"15,18",3
Cockapoo - Small,https://dogtime.com/dog-breeds/cockapoo,4,4,5,4,3,4,4,5,5,4,5,4,2,1,1,3,2,3,2,3,4,4,2,3,2,3,4,3,3,3,5,Hybrid Dogs,12 to 15 inches,15 to 25 pounds,12 to 15 years,12 to 15,2
Cockapoo - Tiny,https://dogtime.com/dog-breeds/cockapoo,4,4,5,4,3,4,4,5,5,4,5,4,2,1,1,3,2,3,2,3,4,4,2,3,2,3,4,3,3,3,5,Hybrid Dogs,10 to 12 inches,10 to 14 pounds,12 to 15 years,10 to 12,2
Cocker Spaniel,https://dogtime.com/dog-breeds/cocker-spaniel,4,5,3,5,1,4,3,4,5,3,4,3,3,3,1,1,4,4,2,4,5,4,4,5,3,4,3,4,2,3,4,Sporting Dogs,"1 foot, 2 inches to 1 foot, 3 inches tall at the shoulder",24 to 28 pounds,12 to 15 years,"14,15",2
Collie,https://dogtime.com/dog-breeds/collie,4,3,4,5,2,4,3,5,5,5,4,4,3,5,1,2,3,3,3,3,4,4,3,4,4,1,3,3,2,3,4,Herding Dogs,"1 foot, 10 inches to 2 feet, 2 inches tall at the shoulder",50 to 70 pounds,10 to 14 years,"22,26",4
Corgi Inu,https://dogtime.com/dog-breeds/corgi-inu,3,4,3,3,3,4,2,3,3,3,3,2,3,5,2,2,3,3,2,3,4,4,3,3,3,2,4,4,3,4,4,Mixed Breed Dogs,9 to 15 inches,17 to 27 pounds,12 to 15 years,"9,15",2
Corgidor,https://dogtime.com/dog-breeds/corgidor,3,3,2,4,3,3,3,4,5,4,3,4,4,5,2,4,4,4,3,3,4,5,3,3,2,3,4,5,3,4,5,Mixed Breed Dogs,12 to 23 inches ,40 to 55 pounds ,10 to 15 years ,"12,23",3
Corman Shepherd,https://dogtime.com/dog-breeds/corman-shepherd,3,2,2,3,3,4,3,4,4,4,4,3,3,5,2,3,3,4,3,3,4,5,3,3,3,2,4,4,3,4,4,Mixed Breed Dogs,12 to 15 inches,20 to 70 pounds,10 to 15 years,"12,15",2
Coton de Tulear,https://dogtime.com/dog-breeds/coton-de-tulear,4,5,4,5,1,3,3,5,5,5,5,5,2,1,1,2,5,3,1,3,3,4,3,1,2,3,3,3,2,3,5,Companion Dogs,8 inches to 1 foot tall at the shoulder,8 to 13 pounds,Starts at 14 years,"9,12",2
Curly-Coated Retriever,https://dogtime.com/dog-breeds/curly-coated-retriever,3,1,3,3,3,4,4,4,5,5,4,3,3,3,2,3,2,3,3,4,4,5,5,5,3,4,4,5,3,4,5,Sporting Dogs,"1 foot, 11 inches to 2 feet, 3 inches tall at the shoulder",65 to 100 pounds,9 to 12 years,"23,27",5
Dachsador,https://dogtime.com/dog-breeds/dachsador,3,4,2,3,2,3,3,4,4,4,3,4,3,2,1,4,4,4,2,3,3,4,2,4,2,4,4,4,3,4,4,Mixed Breed Dogs,15 to 25 inches,30 to 40 pounds,12 to 14 years,"15,25",4
Dachshund,https://dogtime.com/dog-breeds/dachshund,3,5,4,4,3,1,3,3,4,5,3,1,3,3,1,3,2,5,1,4,2,4,4,5,5,5,3,3,3,3,4,Hound Dogs,8 inches to 9 inches tall at the shoulder,16 to 32 pounds,12 to 15 years,"8,9",1
Dalmatian,https://dogtime.com/dog-breeds/dalmatian,3,2,3,4,3,3,4,4,5,4,4,3,4,5,1,5,4,4,3,3,4,4,2,2,2,4,5,5,4,5,4,Companion Dogs,"1 foot, 7 inches to 2 feet tall at the shoulder",48 to 55 pounds,13 to 16 years,"19,24",4
Dandie Dinmont Terrier,https://dogtime.com/dog-breeds/dandie-dinmont-terrier,3,4,4,3,2,3,3,4,5,4,3,3,2,3,1,2,3,4,1,3,2,3,3,4,2,3,3,3,3,2,4,Terrier Dogs,8 inches to 11 inches tall at the shoulder,18 to 24 pounds,12 to 15 years,"8,11",2
Daniff,https://dogtime.com/dog-breeds/daniff,3,2,2,3,1,4,3,4,5,4,4,3,3,2,4,1,3,3,5,3,4,4,2,2,1,2,4,3,4,4,4,Mixed Breed Dogs,27 to 33 inches,115 to 190 pounds,8 to 12 years,"27,33",5
Deutscher Wachtelhund,https://dogtime.com/dog-breeds/deutscher-wachtelhund,3,3,3,2,2,4,3,4,5,4,4,3,3,3,2,3,5,2,4,3,4,4,3,4,3,2,4,4,3,4,4,Sporting Dogs,18 to 21 inches,40 to 55 pounds,12 to 14 years,"18,21",4
Doberdor,https://dogtime.com/dog-breeds/doberdor,2,1,1,3,2,2,4,3,3,3,3,1,3,1,2,4,4,4,5,3,1,4,3,4,4,4,5,5,4,5,4,Mixed Breed Dogs,24 to 28 inches,60 to 100 pounds,10 to 14 years,"24,28",5
Doberman Pinscher,https://dogtime.com/dog-breeds/doberman-pinscher,3,3,3,5,2,1,4,3,5,3,1,3,4,4,4,5,1,3,4,3,5,5,2,1,1,2,4,3,3,3,5,Working Dogs,24 to 28 inches tall at the shoulder,60 to 80 pounds,10 to 13 years,"24,28",5
Docker,https://dogtime.com/dog-breeds/docker,3,3,2,4,2,3,3,3,5,3,3,2,3,3,2,3,3,3,2,4,3,4,5,5,4,5,3,3,3,3,4,Mixed Breed Dogs,9 to 15 inches ,20 to 30 Pounds ,12 to 14 Years,"9,15",2
Dogo Argentino,https://dogtime.com/dog-breeds/dogo-argentino,2,1,1,3,2,2,4,3,4,2,2,2,3,1,3,4,3,2,4,3,2,3,2,5,2,4,4,4,4,4,3,Sporting Dogs,23 to 27 inches,80 to 100 pounds,9 to 15 years,"23,27",4
Dogue de Bordeaux,https://dogtime.com/dog-breeds/dogue-de-bordeaux,3,5,1,4,2,3,2,3,5,5,1,1,4,3,5,5,2,4,4,3,2,3,4,4,2,1,3,2,2,5,3,Working Dogs,"1 foot, 11 inches to 2 feet, 3 inches tall at the shoulder",Starts at 100 pounds,8 to 12 years,"23,27",5
Dorgi,https://dogtime.com/dog-breeds/dorgi,3,4,4,3,1,4,3,4,4,4,4,3,3,2,2,4,4,4,2,3,3,4,4,3,3,3,4,4,4,4,5,Mixed Breed Dogs,9 to 12 inches,15 to 28 pounds,12 to 15 years,"9,12",2
Dorkie,https://dogtime.com/dog-breeds/dorkie,3,5,4,4,2,2,2,4,4,4,4,4,2,3,1,2,2,2,1,3,3,4,2,3,2,2,2,2,2,2,3,Mixed Breed Dogs,5 to 10 inches,5 to 12 pounds,13 to 16 years,"5,10",1
Doxiepoo,https://dogtime.com/dog-breeds/doxiepoo,3,5,3,4,2,3,3,3,5,2,1,3,2,3,3,2,4,2,2,4,3,5,3,4,5,4,4,4,4,4,5,Mixed Breed Dogs,8 to 23 inches,5 to 30 pounds,10 to 15 years,"8,23",3
Doxle,https://dogtime.com/dog-breeds/doxle,3,2,4,4,1,2,4,5,5,4,5,4,4,5,1,4,4,4,3,4,3,4,3,5,5,5,5,5,4,5,5,Mixed Breed Dogs,5 to 15 inches,11 to 30 pounds,12 to 14 years,"5,15",2
Drentsche Patrijshond,https://dogtime.com/dog-breeds/drentsche-patrijshond,3,3,2,4,3,4,3,4,5,4,4,3,3,4,3,3,4,2,3,3,2,4,3,4,2,1,4,5,3,4,4,Working Dogs,21 to 25 inches,40 to 60 pounds,11 to 14 years old,"21,25",4
Drever,https://dogtime.com/dog-breeds/drever,3,4,3,2,2,2,3,4,5,5,4,3,3,3,2,3,5,3,3,3,3,4,4,3,4,2,4,5,3,4,4,Hound Dogs,12 to 16 inches,35 to 40 pounds,12 to 15 years,"12,16",2
Dutch Shepherd,https://dogtime.com/dog-breeds/dutch-shepherd,3,3,3,3,2,4,4,4,4,4,4,2,3,4,2,3,4,2,3,3,5,4,2,3,2,2,4,4,3,4,4,Herding Dogs,21 to 25 inches,50 to 70 pounds,12 to 15 years,"21,25",4
English Cocker Spaniel,https://dogtime.com/dog-breeds/english-cocker-spaniel,4,5,4,5,1,4,3,5,5,5,5,5,3,3,1,3,4,5,2,4,4,5,3,5,4,4,4,5,3,4,5,Sporting Dogs,"1 foot, 3 inches to 1 foot, 5 inches tall at the shoulder",26 to 34 pounds,12 to 14 years,"15,17",3
English Foxhound,https://dogtime.com/dog-breeds/english-foxhound,3,1,2,3,4,3,3,4,4,4,5,3,3,3,1,5,4,2,3,4,3,3,4,5,4,5,5,5,4,5,5,Hound Dogs,"2 feet, 1 inch to 2 feet, 3 inches tall at the shoulder",55 to 75 pounds,10 to 13 years,"25,27",5
English Setter,https://dogtime.com/dog-breeds/english-setter,3,1,3,4,1,4,3,5,5,5,5,5,3,3,2,3,3,5,3,4,3,5,4,5,4,5,4,4,2,5,5,Sporting Dogs,"1 foot, 11 inches to 2 feet, 3 inches tall at the shoulder",45 to 80 pounds,11 to 15 years,"23,27",5
English Springer Spaniel,https://dogtime.com/dog-breeds/english-springer-spaniel,3,1,3,4,1,3,4,5,5,5,5,4,3,3,1,2,3,3,3,4,5,5,3,5,3,4,5,5,3,5,5,Sporting Dogs,"1 foot, 6 inches to 1 foot, 10 inches tall at the shoulder",45 to 55 pounds,9 to 15 years,"18,22",4
English Toy Spaniel,https://dogtime.com/dog-breeds/english-toy-spaniel,3,4,4,4,1,2,2,4,5,1,4,4,3,5,2,4,2,3,2,3,3,3,4,4,3,2,3,3,3,2,4,Companion Dogs,10 inches to 11 inches tall at the shoulder,8 to 14 pounds,10 to 12 years,"10,11",2
Entlebucher Mountain Dog,https://dogtime.com/dog-breeds/entlebucher-mountain-dog,3,1,2,4,3,4,2,4,5,5,3,2,3,3,1,5,3,3,3,4,3,4,4,4,5,3,5,5,4,5,5,Herding Dogs,"1 foot, 4 inches to 1 foot, 8 inches tall at the shoulder",45 to 65 pounds,10 to 13 years,"16,20",3
Estrela Mountain Dog,https://dogtime.com/dog-breeds/estrela-mountain-dog,3,1,3,2,3,4,3,4,5,5,3,2,3,4,3,2,4,3,4,3,4,5,2,1,3,1,3,3,3,3,3,Herding Dogs,24 to 30 inches,75 to 130 pounds,11 to 15 years,"24,30",5
Eurasier,https://dogtime.com/dog-breeds/eurasier,3,4,3,2,1,4,3,4,3,5,4,2,3,4,3,3,4,2,4,2,4,4,2,1,2,1,3,3,2,3,3,Companion Dogs,20 to 24 Inches,40 to 71 lbs,12 to 14 years,"20,24",4
Field Spaniel,https://dogtime.com/dog-breeds/field-spaniel,3,1,3,4,1,3,4,5,5,5,4,4,3,3,1,4,3,4,2,4,5,5,3,4,2,5,5,5,3,5,5,Sporting Dogs,"1 foot, 4 inches to 1 foot, 7 inches tall at the shoulder",37 to 45 pounds,10 to 12 years,"16,19",3
Finnish Lapphund,https://dogtime.com/dog-breeds/finnish-lapphund,4,4,4,4,2,5,2,5,5,5,5,4,3,3,1,4,4,4,3,4,5,5,4,4,3,4,5,5,5,4,5,Herding Dogs,"1 foot, 5 inches to 1 foot, 8 inches tall at the shoulder",33 to 53 pounds,12 to 15 years,"17,20",3
Finnish Spitz,https://dogtime.com/dog-breeds/finnish-spitz,3,3,3,3,1,5,3,5,5,5,5,3,3,4,1,2,4,3,3,4,3,4,3,3,5,4,5,5,4,5,5,Sporting Dogs,"1 foot, 3 inches to 1 foot, 8 inches tall at the shoulder",20 to 35 pounds,12 to 15 years,"15,20",3
Flat-Coated Retriever,https://dogtime.com/dog-breeds/flat-coated-retriever,3,1,2,5,1,4,4,5,5,5,5,5,3,3,2,4,4,4,3,4,4,5,3,3,4,4,5,5,4,5,5,Sporting Dogs,"1 foot, 10 inches to 2 feet tall at the shoulder",55 to 70 pounds,10 to 12 years,"22,24",4
Fox Terrier - Standard,https://dogtime.com/dog-breeds/fox-terrier,3,3,3,3,3,3,4,4,4,4,3,3,2,2,1,2,4,2,2,4,5,5,3,5,3,3,5,5,5,5,5,Terrier Dogs,14 to 16 inches,15 to 19 pounds,10 to 15 years,"14,16",3
Fox Terrier - Small,https://dogtime.com/dog-breeds/fox-terrier,3,3,3,3,3,3,4,4,4,4,3,3,2,2,1,2,4,2,2,4,5,5,3,5,3,3,5,5,5,5,5,Terrier Dogs,8 to 14 inches,8 to 12 pounds,10 to 15 years,"8,14",2
French Bulldog,https://dogtime.com/dog-breeds/french-bulldog,3,5,5,3,1,2,1,4,5,4,4,4,3,3,1,5,2,4,2,3,4,3,3,2,3,2,4,3,4,2,5,Companion Dogs,11 inches to 1 foot tall at the shoulder,16 to 28 pounds,11 to 14 years,"11,12",2
French Spaniel,https://dogtime.com/dog-breeds/french-spaniel,3,2,4,4,3,4,2,4,5,4,4,4,3,3,2,3,4,2,3,3,4,4,2,3,2,2,4,5,3,4,4,Sporting Dogs,21 to 24 inches.,45 to 60 pounds.,10 to 12 years.,"21,24",4
Frenchton,https://dogtime.com/dog-breeds/frenchton,4,5,5,3,2,3,3,5,5,5,5,5,3,4,3,5,4,2,2,3,4,4,2,2,3,3,4,3,3,3,5,Mixed Breed Dogs,11 to 14 inches,15 to 25 pounds,12 to 15 years,"11,14",2
Frengle,https://dogtime.com/dog-breeds/frengle,3,4,4,4,3,2,2,5,5,5,4,4,3,3,1,5,4,4,3,3,3,4,3,3,2,3,4,4,3,4,5,Mixed Breed Dogs,8 to 15 inches,18 to 30 pounds,10 to 15 years,"8,15",2
German Pinscher,https://dogtime.com/dog-breeds/german-pinscher,3,3,3,4,3,3,4,3,5,3,2,2,3,3,1,5,4,3,3,4,4,5,3,5,3,4,5,5,3,5,5,Working Dogs,17 to 20 inches tall at the shoulder,25 to 45 pounds,12 to 14 years,"17,20",3
German Shepherd Dog,https://dogtime.com/dog-breeds/german-shepherd-dog,3,3,2,5,2,4,3,4,5,5,2,4,4,5,1,5,4,2,4,4,5,5,5,4,4,2,5,5,5,5,5,Herding Dogs,"1 foot, 10 inches to 2 feet, 2 inches tall at the shoulder",75 to 95 pounds,10 to 14 years,"22,26",4
German Shepherd Pit Bull,https://dogtime.com/dog-breeds/german-shepherd-pit-bull,2,1,1,4,1,3,3,5,5,5,4,4,4,5,1,5,4,4,4,4,5,5,5,4,4,3,5,5,5,5,5,Mixed Breed Dogs,17 to 26 inches ,30 to 90 pounds ,10 to 12 years ,"17,26",4
German Sheprador,https://dogtime.com/dog-breeds/german-sheprador,3,2,1,5,2,4,4,5,5,5,4,4,4,5,2,5,3,3,4,4,5,5,5,3,2,2,5,5,5,5,5,Mixed Breed Dogs,20 to 27 inches ,60 to 95 pounds ,10 to 12 years ,"20,27",4
German Shorthaired Pointer,https://dogtime.com/dog-breeds/german-shorthaired-pointer,2,1,2,4,1,2,4,4,5,5,4,3,3,2,2,5,3,3,3,5,5,5,4,5,3,5,5,5,3,5,5,Sporting Dogs,"1 foot, 9 inches to 2 feet, 1 inch tall at the shoulder",45 to 70 pounds,12 to 15 years,"21,25",4
