breed,a_adaptability,a1_adapts_well_to_apartment_living,a2_good_for_novice_owners,a3_sensitivity_level,a4_tolerates_being_alone,a5_tolerates_cold_weather,a6_tolerates_hot_weather,b_all_around_friendliness,b1_affectionate_with_family,b2_incredibly_kid_friendly_dogs,b3_dog_friendly,b4_friendly_toward_strangers,c_health_grooming,c1_amount_of_shedding,c2_drooling_potential,c3_easy_to_groom,c4_general_health,c5_potential_for_weight_gain,c6_size,d_trainability,d1_easy_to_train,d2_intelligence,d3_potential_for_mouthiness,d4_prey_drive,d5_tendency_to_bark_or_howl,d6_wanderlust_potential,e_exercise_needs,e1_energy_level,e2_intensity,e3_exercise_needs,e4_potential_for_playfulness,size
German Wirehaired Pointer,3,2,3,4,2,3,4,3,5,3,3,2,3,2,2,4,4,3,4,4,4,5,4,4,3,5,5,5,4,5,5,4
Giant Schnauzer,2,1,1,4,2,4,2,3,5,3,3,2,3,4,1,2,4,3,4,4,5,4,3,4,4,4,4,5,2,5,5,5
Glen of Imaal Terrier,3,4,2,3,3,3,4,4,5,5,2,3,3,1,1,5,5,3,1,4,4,4,3,5,4,3,4,4,5,4,4,2
Goberian,3,1,2,3,2,5,2,4,4,4,4,2,3,2,1,5,4,4,4,3,2,5,3,4,2,4,5,5,4,5,4,4
Goldador,4,2,4,3,4,5,4,5,5,5,5,5,3,3,2,4,4,3,4,3,4,5,2,1,1,4,5,5,5,5,5,4
Golden Cocker Retriever,3,1,4,4,1,2,4,4,5,4,4,3,3,4,1,4,4,4,3,3,4,4,2,2,3,4,4,5,2,4,5,4
Golden Mountain Dog,2,1,2,2,2,5,1,4,5,5,4,3,4,4,4,2,3,4,5,3,4,4,2,2,3,4,4,4,2,5,5,5
Golden Retriever,3,2,3,5,1,3,3,5,5,5,5,5,4,5,4,2,2,5,3,4,5,5,5,3,3,2,4,5,2,5,5,4
Golden Retriever Corgi,3,3,4,3,3,3,3,5,5,5,4,4,3,4,3,3,3,4,3,3,4,4,3,2,3,2,4,4,3,3,5,3
Golden Shepherd,3,2,2,5,1,5,4,5,5,5,3,5,3,5,2,2,3,3,5,4,5,5,5,3,3,2,5,5,3,5,5,4
Goldendoodle,3,1,4,4,3,3,3,5,5,5,5,4,3,2,1,4,3,3,4,3,4,5,1,1,3,3,4,4,3,5,5,5
Gollie,3,1,4,3,2,3,3,5,5,5,4,4,3,4,2,3,3,4,3,3,4,4,2,2,2,4,4,5,3,4,5,4
Gordon Setter,3,2,3,4,1,4,3,3,5,3,2,3,3,5,3,2,4,3,3,4,5,5,3,4,5,4,4,5,2,5,5,5
Great Dane,2,1,1,5,1,2,3,5,5,5,5,5,4,5,4,5,4,2,5,3,5,3,2,3,4,3,5,5,5,5,5,5
Great Pyrenees,3,1,1,4,3,5,3,4,5,4,4,3,4,5,2,4,2,4,5,4,1,4,2,5,5,5,5,5,5,5,4,5
Greater Swiss Mountain Dog,3,1,2,4,3,5,1,5,5,5,5,3,3,3,1,5,2,4,5,3,3,3,3,4,4,3,4,5,4,3,5,5
Greyador,3,3,2,5,1,1,3,5,5,5,5,5,5,5,4,5,4,5,4,4,3,5,5,4,4,4,4,4,4,4,4,4
Greyhound,3,4,2,5,1,1,5,5,5,5,4,5,5,4,5,5,4,5,4,4,5,5,4,5,2,5,4,5,3,5,4,5
Hamiltonstovare,3,3,2,4,3,3,3,4,5,4,3,3,3,1,1,4,4,3,3,3,3,4,2,5,3,2,4,5,3,4,4,4
Hanoverian Scenthound,3,2,1,4,3,3,3,4,5,5,4,3,3,2,1,4,4,3,4,3,2,4,2,4,3,2,4,4,3,4,4,4
Harrier,3,1,3,2,3,3,4,5,4,5,5,5,3,3,1,5,5,3,3,4,2,4,3,4,4,5,5,5,4,5,5,4
Havanese,4,5,5,4,1,3,4,5,5,4,5,5,2,2,1,1,3,4,2,3,5,4,3,4,2,2,3,3,2,3,5,2
Hokkaido,3,3,2,2,3,5,2,4,4,4,3,3,3,4,2,1,5,3,3,3,3,4,3,4,3,3,3,3,2,3,3,3
Horgi,3,2,2,4,2,4,3,5,5,5,4,5,3,4,2,3,3,3,2,4,4,4,4,4,3,3,4,4,3,4,4,2
Huskita,3,2,1,4,1,5,3,3,5,2,2,3,3,4,3,1,4,3,4,4,2,3,3,4,5,5,5,4,4,5,5,4
Huskydoodle - Standard,3,2,2,3,2,4,3,4,4,4,4,3,3,3,2,3,4,4,3,3,3,5,3,4,2,2,5,5,4,5,4,4
Huskydoodle - Small,3,2,2,3,2,4,3,4,4,4,4,3,3,3,2,3,4,4,3,3,3,5,3,4,2,2,5,5,4,5,4,3
Ibizan Hound,3,5,3,4,2,1,4,5,5,5,5,4,3,3,1,5,4,1,3,4,3,4,3,5,2,5,5,5,3,5,5,5
Icelandic Sheepdog,3,1,1,3,2,5,3,3,4,4,2,2,3,5,1,1,3,3,3,3,3,4,3,4,1,4,4,4,5,4,4,3
Irish Red and White Setter,3,1,3,4,1,4,3,4,5,4,4,4,2,3,1,3,2,2,3,4,4,4,4,3,3,4,5,5,5,5,5,5
Irish Setter,3,1,3,4,2,4,3,5,5,5,5,5,3,4,2,3,2,3,4,5,4,5,5,5,4,5,5,5,3,5,5,5
Irish Terrier,3,3,2,3,2,4,4,4,5,5,1,3,3,4,1,2,5,3,3,3,1,4,1,2,4,3,5,5,4,4,5,3
Irish Water Spaniel,3,3,2,4,3,4,4,5,5,5,4,5,2,1,2,3,2,3,3,4,5,4,3,5,4,3,4,5,3,5,4,4
Irish Wolfhound,2,1,2,3,2,4,2,5,5,5,5,5,3,3,1,3,1,3,5,3,3,4,3,5,1,3,3,2,2,4,4,5
Italian Greyhound,3,5,5,5,1,1,3,5,5,5,4,4,3,2,1,5,3,2,2,4,3,3,4,5,3,3,4,4,2,4,4,3
Jack-A-Poo,4,4,4,4,2,4,4,5,5,5,5,4,2,2,1,2,3,4,2,4,4,5,4,4,3,4,5,5,4,5,5,2
Jack Chi,3,4,2,3,3,2,4,4,4,5,4,3,3,2,2,5,4,4,2,3,2,4,2,4,2,4,4,4,4,4,5,2
Jack Russell Terrier,3,3,2,3,3,4,3,5,5,4,5,4,3,3,1,3,4,4,2,4,4,5,4,5,4,4,5,5,5,5,5,2
Japanese Chin,3,5,4,3,1,3,2,3,3,3,3,4,2,3,1,3,3,3,1,3,3,3,4,3,3,1,2,2,1,2,4,1
Japanese Spitz,3,4,4,3,2,4,3,4,4,5,4,2,3,3,1,4,3,2,2,3,4,4,2,2,4,2,3,3,2,3,4,2
Korean Jindo Dog,3,3,2,3,2,5,2,4,5,3,3,4,3,5,1,1,4,2,3,3,2,5,2,5,5,5,4,4,4,5,4,3
Karelian Bear Dog,3,2,1,4,2,5,3,3,4,3,1,2,3,3,1,4,4,2,3,4,2,4,4,5,4,5,4,4,5,4,4,4
Keeshond,4,4,4,5,1,5,3,5,5,5,4,4,3,5,1,3,3,4,3,3,4,4,3,3,4,2,4,4,3,3,5,3
Kerry Blue Terrier,3,3,2,3,3,4,3,4,4,4,2,5,2,1,1,2,3,3,3,4,4,4,4,3,4,3,4,4,4,5,4,3
Komondor,3,2,1,4,1,4,3,3,5,3,1,1,3,3,2,2,2,3,4,4,4,4,3,2,5,4,3,2,1,4,4,5
Kooikerhondje,3,4,3,4,2,4,3,2,3,2,2,2,3,3,1,2,5,3,3,3,1,4,3,3,3,3,5,4,5,5,4,2
Kuvasz,3,1,1,5,1,5,2,2,5,1,2,1,4,4,3,4,4,4,5,2,2,4,1,1,3,3,4,4,4,5,4,5
Kyi-Leo,4,5,4,3,4,5,2,4,5,5,4,3,2,2,1,2,3,3,2,3,3,3,4,1,4,2,3,4,3,2,4,2
Lab Pointer,3,1,4,3,1,4,4,4,5,4,3,4,3,2,2,4,4,4,4,4,5,4,2,4,2,4,4,5,3,5,4,4
Labernese,3,2,4,4,1,4,2,4,4,5,4,3,3,4,3,3,2,4,4,3,3,4,3,3,2,4,4,4,2,4,5,5
Labmaraner,3,1,4,4,1,3,3,4,4,5,4,3,3,1,2,4,4,4,4,4,4,4,3,3,3,4,4,4,3,5,5,4
Labrabull,3,2,2,4,1,3,3,4,5,5,2,5,4,5,2,5,3,3,4,4,5,5,5,3,3,4,5,5,5,4,5,4
Labradane,3,1,2,3,2,4,4,4,5,5,4,3,4,2,3,4,4,4,5,3,3,4,2,3,1,3,4,4,2,4,5,5
Labradoodle,4,3,4,3,4,5,4,5,5,4,5,5,3,3,1,4,4,3,4,3,4,4,1,2,2,3,5,5,4,5,5,4
Labrador Retriever,3,1,3,5,2,3,3,5,5,5,5,5,4,5,3,5,3,5,4,4,5,5,5,2,4,3,5,5,5,5,5,4
Labrastaff,3,2,2,4,1,3,3,4,4,4,3,4,4,4,3,3,4,4,4,3,2,4,3,3,3,4,4,4,3,4,4,3
Labsky,2,2,2,2,2,5,1,4,5,4,3,3,3,4,2,2,3,4,4,4,4,5,3,4,4,4,5,5,4,5,5,3
Lagotto Romagnolo,3,2,4,3,3,4,3,3,3,3,3,3,2,1,2,1,4,3,2,3,4,4,2,4,3,3,4,4,2,4,4,3
Lakeland Terrier,3,4,3,3,2,4,4,4,5,4,3,3,3,2,1,2,5,3,2,3,2,4,1,4,2,3,4,5,4,4,4,2
Lancashire Heeler,3,2,2,3,3,3,3,3,4,3,3,2,3,3,1,4,4,4,1,3,3,4,2,2,2,4,4,4,4,3,4,2
Leonberger,2,1,1,4,2,5,1,4,5,4,3,2,4,5,3,4,1,4,5,3,2,3,4,4,3,2,4,4,4,4,4,5
Lhasa Apso,4,5,5,5,4,3,2,3,4,4,3,2,2,3,1,1,3,3,1,3,3,4,3,4,4,2,4,4,3,3,5,2
Lhasapoo,3,4,2,4,2,3,3,3,4,3,3,1,3,1,1,3,4,3,3,3,3,5,2,2,4,2,4,4,4,3,4,2
Lowchen,3,5,4,3,1,3,3,5,5,5,4,4,3,3,1,3,5,3,1,4,5,4,3,4,4,5,4,4,3,4,5,2
Maltese,3,5,5,4,1,1,3,4,5,3,4,2,2,2,1,2,3,3,1,3,4,4,3,4,2,1,3,3,3,2,4,1
Maltese Shih Tzu,3,5,5,3,3,2,2,3,4,3,3,3,2,1,1,2,2,3,1,4,4,3,4,5,4,1,3,3,2,3,3,1
Maltipoo,4,5,5,5,1,2,3,4,5,4,4,4,2,1,1,3,2,2,2,4,5,4,3,2,5,4,3,3,3,2,4,2
Manchester Terrier,3,5,3,3,3,1,3,3,4,3,3,3,3,3,1,5,2,4,2,3,2,4,2,4,4,4,4,4,4,4,4,2
Mastador,3,1,2,4,3,4,2,4,5,5,3,3,4,4,4,4,4,4,4,3,4,4,4,2,2,2,4,4,4,4,4,5
Mastiff,2,2,1,3,3,4,1,4,5,5,2,2,4,3,5,3,3,4,5,2,3,2,4,2,2,1,4,3,3,4,4,5
Miniature Pinscher,3,5,3,5,2,1,3,3,5,3,2,3,3,2,1,5,3,5,1,3,3,3,2,3,1,5,4,4,3,4,5,1
Miniature Schnauzer,4,4,3,4,5,4,4,4,5,3,3,3,2,2,1,2,3,4,2,4,5,4,2,4,3,3,4,5,3,5,4,2
Morkie,3,3,2,3,2,2,3,3,4,3,2,3,2,1,1,3,4,4,1,4,3,4,5,3,5,2,4,4,3,4,5,1
Mudi,3,2,4,4,2,3,3,3,4,2,2,2,3,3,1,4,4,2,2,4,5,4,3,4,4,4,4,4,2,4,4,3
Neapolitan Mastiff,2,2,1,4,1,1,2,3,5,4,2,1,4,3,5,3,2,5,5,2,3,3,2,1,1,1,3,3,1,3,4,5
Newfoundland,3,1,3,4,1,5,2,5,5,5,4,4,4,5,5,2,1,4,5,4,5,4,3,4,4,3,3,3,1,3,4,5
Norfolk Terrier,4,4,5,4,3,4,4,5,5,4,5,4,3,1,1,4,5,5,1,3,5,4,2,1,3,4,4,4,4,4,5,1
Norwegian Buhund,3,3,3,3,4,5,2,4,5,5,3,3,3,3,1,2,4,3,3,3,4,3,3,2,4,4,5,4,4,5,5,3
Norwegian Elkhound,4,4,4,4,2,5,3,4,5,4,4,4,3,5,1,3,4,4,3,4,2,4,3,4,4,4,4,5,3,5,4,3
Norwegian Lundehund,3,1,1,3,2,5,3,5,5,5,5,5,3,5,1,4,3,3,3,3,4,5,3,2,1,5,5,4,4,5,5,2
Norwich Terrier,4,5,3,4,2,4,4,5,5,5,5,5,3,2,1,2,4,5,1,4,4,4,4,3,4,4,5,5,4,4,5,1
Nova Scotia Duck Tolling Retriever,4,5,3,3,2,4,4,5,5,5,4,4,3,3,1,5,4,4,3,4,4,5,4,5,4,3,5,5,3,5,5,3
Old English Sheepdog,4,5,4,4,2,4,2,4,5,4,4,4,3,1,4,1,4,4,4,3,3,4,2,3,1,2,4,4,3,4,4,4
Otterhound,3,1,4,2,5,4,3,5,5,5,5,4,3,4,1,2,4,3,4,4,2,4,3,5,2,5,5,5,4,5,5,5
Papillon,3,5,5,3,1,2,4,4,5,3,4,5,2,2,1,3,3,3,1,3,5,4,3,4,2,1,4,4,3,5,5,1
Papipoo,4,5,5,4,1,2,4,4,5,3,4,4,2,1,1,2,3,3,1,3,5,5,3,3,2,2,5,5,3,5,5,2
Peekapoo,4,5,5,4,2,3,2,4,5,4,4,3,2,2,1,2,3,4,1,3,3,4,4,3,4,1,3,3,2,3,4,2
Pekingese,3,5,4,2,3,4,1,3,5,2,2,2,2,4,1,1,2,3,1,4,3,4,3,5,4,3,2,2,1,2,3,1
Pembroke Welsh Corgi,4,4,4,4,3,4,3,4,5,4,3,5,3,5,1,4,3,4,2,3,5,5,2,3,2,2,4,4,3,4,4,2
Petit Basset Griffon Vendeen,3,4,3,3,3,4,3,5,5,5,5,5,3,4,1,2,3,4,2,4,1,4,3,5,5,5,5,5,4,5,5,2
Pharaoh Hound,4,4,4,5,2,1,5,5,5,5,5,4,3,2,1,4,5,3,3,4,3,4,4,5,4,4,3,2,3,4,4,3
Pitsky,2,2,1,4,1,3,3,5,5,5,3,5,3,4,2,3,4,2,3,4,3,3,4,3,4,4,5,4,4,5,5,4
Plott,2,1,1,4,2,2,4,4,4,3,5,3,3,2,1,5,5,3,3,4,4,3,3,5,1,5,4,4,4,5,3,4
Pocket Beagle,3,4,3,4,2,2,4,5,5,5,5,4,3,3,1,5,3,5,2,4,3,4,4,3,5,5,4,4,4,4,4,2
Pointer,2,1,1,3,1,2,4,5,5,5,5,5,3,3,1,5,3,3,3,5,5,5,5,5,3,5,5,5,5,5,5,5
Polish Lowland Sheepdog,4,4,2,4,3,4,4,4,5,4,3,3,2,1,1,1,4,3,3,3,4,4,3,3,2,3,4,4,3,4,4,3
Pomapoo,3,5,5,4,1,3,2,4,5,3,3,3,2,3,1,1,3,4,1,3,4,4,3,2,3,1,3,3,3,3,4,1
Pomchi,3,4,3,3,3,2,4,3,4,3,3,3,3,3,1,2,5,4,1,4,3,4,4,3,4,3,4,3,4,3,4,1
Pomeagle,3,4,4,4,1,3,2,4,5,3,3,3,3,4,1,2,3,4,1,3,3,2,3,3,5,4,4,4,3,3,4,2
Pomeranian,3,4,4,4,1,4,2,3,5,2,2,3,3,4,1,2,3,4,1,3,4,4,2,2,5,1,3,3,2,2,3,2
Pomsky,3,5,2,4,1,5,3,3,5,2,3,3,3,4,1,2,3,3,2,4,3,4,3,4,5,2,3,4,2,3,4,2
Poochon,4,5,5,5,1,3,4,5,5,5,4,4,2,1,1,1,3,4,2,3,5,4,3,3,2,2,4,4,3,4,5,2
Poodle - Standard,4,5,5,4,1,3,4,5,5,5,4,4,2,1,1,1,2,4,4,4,5,5,4,2,2,3,4,4,3,4,5,3
Poodle - Small,4,5,5,4,1,3,4,5,5,5,4,4,2,1,1,1,2,4,4,4,5,5,4,2,2,3,4,4,3,4,5,2
Poodle - Tiny,4,5,5,4,1,3,4,5,5,5,4,4,2,1,1,1,2,4,4,4,5,5,4,2,2,3,4,4,3,4,5,1
Portuguese Podengo Pequeno,3,5,4,3,3,2,3,4,4,4,4,4,3,3,1,4,4,2,1,4,4,3,3,4,4,3,4,5,3,3,3,1
Portuguese Water Dog,3,4,3,4,2,4,3,5,5,5,5,3,2,1,1,2,4,3,3,4,4,5,5,3,3,3,5,5,3,5,5,3
Pug,3,5,5,3,1,2,1,4,5,4,4,4,3,5,1,5,1,5,2,2,3,2,2,3,2,2,4,3,4,3,5,2
Pugalier,4,5,5,5,2,2,2,5,5,5,5,5,3,4,1,4,3,5,2,3,4,3,3,3,3,2,4,3,3,3,5,2
Puggle,4,4,5,3,3,3,3,5,3,5,5,5,3,3,1,5,4,5,2,3,2,3,3,2,4,5,3,3,2,3,3,2
Puli,3,4,1,4,2,4,3,4,5,5,5,2,2,1,1,1,5,3,3,4,2,4,3,4,4,5,5,5,5,5,5,2
Pyrenean Shepherd,3,5,2,4,1,4,3,4,5,5,2,2,2,3,1,3,2,3,2,3,2,4,3,4,5,2,5,4,5,5,5,3
Rat Terrier,3,5,3,4,3,1,4,4,4,5,3,4,3,4,1,5,4,3,1,3,5,4,2,4,1,4,5,5,4,4,5,2
Redbone Coonhound,3,4,2,5,2,3,2,4,5,5,4,3,3,2,4,5,3,3,3,4,3,4,4,4,4,5,5,4,4,5,5,4
Rhodesian Ridgeback,3,1,2,4,2,3,3,4,5,4,4,3,4,4,1,5,4,3,4,3,2,4,3,5,1,5,5,4,4,5,5,5
Rottador,3,3,2,5,1,4,3,4,5,4,3,3,4,4,4,5,2,5,4,4,4,5,4,3,4,3,5,5,5,5,5,5
Rottle - Medium,3,4,3,3,3,3,3,4,5,4,3,3,3,2,2,4,4,3,3,3,5,5,3,3,2,2,4,4,3,4,5,
Rottle - Small,3,4,3,3,3,3,3,4,5,4,3,3,3,2,2,4,4,3,3,3,5,5,3,3,2,2,4,4,3,4,5,
Rottweiler,2,2,1,4,1,2,3,4,5,4,2,4,4,4,4,5,2,5,3,4,4,5,3,4,4,2,4,4,4,4,5,5
Saint Berdoodle,3,2,5,3,2,4,3,5,5,5,5,4,3,3,1,4,4,3,4,3,4,4,3,3,3,3,3,3,3,3,3,5
Saint Bernard,3,3,2,4,1,5,1,5,5,5,5,5,4,4,5,2,2,4,5,2,2,4,3,1,1,2,3,3,2,2,4,5
Saluki,2,1,2,5,1,2,3,4,5,4,4,1,3,2,1,4,4,1,4,4,4,4,4,5,1,5,4,5,2,5,5,4
Samoyed,3,2,2,4,2,5,1,5,5,5,5,5,3,5,2,1,3,4,3,4,3,3,3,5,3,4,4,5,2,5,5,4
Samusky,3,2,3,3,2,5,3,4,4,5,4,4,3,4,2,2,3,4,4,3,3,5,3,3,2,4,4,5,3,4,5,4
Schipperke,3,4,4,4,3,3,2,3,4,5,2,2,3,3,1,5,4,5,1,3,2,4,3,2,4,5,5,5,3,5,5,2
Schnoodle,3,3,5,4,2,2,4,4,4,5,3,3,3,2,1,4,3,4,4,3,4,5,3,3,2,3,4,4,3,4,4,3
Scottish Deerhound,3,1,1,3,2,4,4,4,5,4,2,5,3,5,1,2,3,4,5,3,2,3,4,5,1,4,5,5,5,5,5,5
Scottish Terrier,3,4,2,4,3,4,3,4,5,4,4,4,2,2,1,2,4,3,2,3,1,4,3,3,4,5,4,4,4,4,4,2
Sealyham Terrier,4,4,4,4,2,4,3,4,4,4,4,3,3,4,3,1,5,3,2,3,3,4,2,2,2,3,4,4,2,4,4,2
Sheepadoodle,4,4,4,5,2,4,3,5,5,5,4,4,3,1,1,3,4,4,4,3,3,5,3,1,2,2,4,4,3,4,5,3
Shepsky,3,1,1,4,2,4,3,4,5,4,3,4,3,4,2,3,4,2,4,4,4,5,4,4,3,2,5,5,4,5,5,4
Shetland Sheepdog,3,2,3,5,2,4,3,5,5,5,4,5,3,5,1,2,4,3,1,3,5,5,1,3,1,2,4,4,2,4,4,2
Shiba Inu,4,5,4,3,5,4,3,3,4,3,3,3,3,4,1,4,3,2,2,4,2,4,4,3,4,4,3,4,2,3,3,2
Shichon,3,5,4,4,1,2,2,5,5,5,4,4,3,1,1,4,4,3,2,2,3,4,1,1,2,1,4,4,2,3,5,2
Shih-Poo,3,5,2,4,2,3,2,4,5,3,2,4,2,1,1,2,3,4,1,3,2,4,3,2,2,2,3,3,1,2,4,2
Shih Tzu,3,5,5,3,3,3,1,5,5,4,4,5,2,3,1,1,3,4,1,3,3,4,4,4,2,2,3,2,3,2,4,2
Shiranian,3,4,4,4,2,2,1,4,5,3,3,4,2,2,2,2,2,3,2,2,2,4,1,1,2,2,3,2,3,2,4,1
Shollie,3,1,2,3,2,4,4,3,4,4,3,2,3,4,2,3,3,4,4,4,4,4,3,3,3,4,4,5,4,4,4,4
Shorkie,3,5,3,3,1,2,2,3,4,3,2,3,2,2,1,4,2,3,1,3,2,3,2,4,4,3,4,4,3,2,5,1
Siberian Husky,3,2,1,4,1,5,3,5,5,5,5,5,3,3,3,2,4,2,3,4,2,3,4,3,5,5,5,5,3,5,5,3
Silken Windhound,4,4,4,4,2,4,4,4,5,4,3,4,3,2,2,4,4,2,3,4,5,4,3,5,1,4,4,4,2,4,5,3
Silky Terrier,3,5,3,3,3,1,4,3,4,3,2,3,3,2,1,4,4,3,1,4,4,4,2,5,4,3,4,4,4,3,4,1
Skye Terrier,4,4,4,3,2,4,4,4,4,4,2,5,3,3,1,3,5,3,2,4,2,4,3,4,4,4,4,3,4,3,4,2
Sloughi,3,4,2,4,3,2,3,4,5,5,4,3,3,3,1,5,3,2,4,3,3,4,3,5,2,3,4,5,3,5,3,5
Small Munsterlander Pointer,3,1,2,3,4,5,3,5,5,5,5,4,3,3,1,3,5,3,3,4,5,5,3,5,3,4,5,4,5,5,4,4
Soft Coated Wheaten Terrier,3,5,4,4,2,2,3,5,5,5,5,5,3,2,1,3,4,3,3,3,4,4,2,3,3,4,4,4,3,4,5,3
Spanish Mastiff,3,2,1,3,3,4,3,3,4,4,2,2,3,3,2,3,4,3,5,2,2,4,2,1,1,2,3,3,2,3,4,5
Spinone Italiano,4,4,4,5,2,4,3,5,5,5,5,5,3,3,4,2,3,2,4,3,4,4,2,4,2,2,4,4,2,4,4,4
Springador,3,2,3,4,1,4,4,3,4,3,3,3,3,1,2,4,4,4,4,4,5,5,2,4,3,4,4,4,3,4,4,4
Stabyhoun,3,2,3,4,3,2,2,4,5,5,4,3,3,3,1,3,5,3,3,4,5,5,1,4,3,3,4,3,4,4,5,3
Staffordshire Bull Terrier,2,3,1,4,2,3,1,4,5,5,1,5,3,3,3,5,3,4,2,3,2,3,2,2,3,4,4,3,3,4,5,2
Standard Schnauzer,3,4,2,4,2,4,4,3,4,4,3,2,2,1,1,2,5,1,3,4,3,5,3,5,2,5,5,5,3,5,5,3
Sussex Spaniel,4,5,5,5,1,5,5,5,5,5,5,5,3,3,1,4,4,5,2,3,3,5,2,1,4,1,2,2,1,2,4,2
Swedish Vallhund,3,3,1,3,3,4,3,4,5,4,3,5,4,4,1,5,4,4,3,3,5,5,2,4,1,3,5,5,3,5,5,2
Terripoo,3,5,5,2,1,3,4,4,5,4,3,3,2,1,1,3,3,3,1,4,4,5,2,4,3,3,4,5,3,4,5,2
Texas Heeler,3,2,3,3,3,4,3,3,4,3,3,3,3,4,2,3,3,5,3,4,3,5,4,3,2,4,4,5,3,5,4,3
Tibetan Mastiff,3,1,1,5,1,5,2,4,5,5,5,2,3,2,2,4,3,4,5,3,1,5,5,3,2,3,3,4,2,2,5,5
Tibetan Spaniel,3,5,4,5,1,1,2,4,5,5,4,3,3,3,1,4,5,3,1,4,4,4,3,3,4,3,4,3,3,4,4,2
Tibetan Terrier,4,5,3,4,1,4,4,4,5,5,4,3,2,1,1,1,5,3,2,3,4,4,2,2,2,3,5,5,4,5,5,2
Toy Fox Terrier,3,5,3,4,1,2,3,4,5,4,3,3,3,4,1,5,5,2,1,4,3,4,2,5,4,4,5,5,4,5,5,1
Treeing Tennessee Brindle,2,1,2,3,2,3,3,4,4,4,4,3,4,4,3,5,4,3,3,3,3,4,3,4,1,1,4,4,4,5,3,4
Treeing Walker Coonhound,3,1,2,5,2,3,3,4,4,4,3,3,4,3,2,5,4,3,4,4,2,4,3,4,5,5,4,4,4,5,3,4
Valley Bulldog,3,4,3,4,2,1,1,4,5,4,3,4,4,4,3,5,3,4,4,3,3,3,2,3,4,1,4,4,4,4,4,5
Vizsla,3,1,3,5,1,1,4,5,5,5,5,5,3,2,1,5,4,2,3,4,5,4,4,2,5,5,5,5,4,5,5,4
Weimaraner,3,1,2,5,1,3,4,4,5,4,3,3,4,4,4,5,3,2,4,4,4,5,5,5,2,5,5,5,5,5,5,4
Welsh Springer Spaniel,4,4,4,5,1,4,4,4,5,5,4,3,3,3,1,4,4,4,3,4,5,5,3,3,5,5,5,5,4,5,4,3
Welsh Terrier,3,3,3,3,2,2,2,5,4,5,5,4,3,2,1,2,5,3,2,4,3,5,2,5,4,4,5,5,5,5,5,2
West Highland White Terrier,4,4,4,4,2,4,3,4,5,4,5,3,3,4,1,3,3,4,2,4,4,4,2,4,4,3,4,4,4,4,4,2
Westiepoo,3,3,4,4,1,3,3,4,4,4,4,4,3,1,1,5,4,4,2,4,4,4,3,4,3,3,4,4,4,4,5,2
Whippet,3,5,3,5,2,1,4,5,5,5,4,4,3,2,1,5,4,1,3,4,4,4,4,5,1,4,4,5,2,5,5,4
Whoodle,3,4,1,3,1,4,2,4,4,4,3,4,3,2,1,3,4,2,3,2,2,4,1,2,1,3,4,4,4,4,4,3
Wirehaired Pointing Griffon,3,1,3,4,1,4,3,5,5,5,4,5,3,1,1,3,4,3,3,4,5,5,3,4,4,4,4,5,3,4,5,4
Xoloitzcuintli,3,5,1,5,1,3,3,3,5,3,2,1,4,5,1,5,5,3,3,4,3,5,3,5,5,5,3,3,3,3,3,4
Yorkipoo,4,5,5,4,3,2,3,4,5,4,3,2,2,1,1,4,3,2,1,4,4,4,3,3,5,2,4,5,3,3,4,2
Yorkshire Terrier,3,5,4,5,2,2,2,3,4,2,3,2,2,2,1,1,4,2,1,3,3,3,2,2,3,3,5,5,4,4,5,1
